GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHintResponse.PasswordHintResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AuthResponse,107,219,40,12,0,11,24,24,0,22
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultTimelineResponse.CategoryBreakdown.CategoryBreakdownBuilder,14,49,0,0,0,1,1,8,1,8
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TeamResponse,144,253,53,13,0,13,31,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachHistoryResponse.ScanHistoryEntry,267,0,42,0,10,0,40,0,19,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineStatsResponse.DailyActivityBucket,200,67,28,0,1,11,24,13,10,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ShareLinkResponse,190,323,70,16,0,16,41,33,0,31
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineEventDTO,180,293,69,17,0,14,41,29,0,27
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HeatmapResponse.HeatmapResponseBuilder,0,65,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AutofillSuggestionResponse,42,113,16,8,0,7,10,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineStatsResponse.DailyActivityBucket.DailyActivityBucketBuilder,18,63,0,0,0,1,1,10,1,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultEntryDetailResponse.VaultEntryDetailResponseBuilder,0,164,0,0,0,1,0,20,0,20
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EntryTimelineResponse,102,221,37,11,0,12,22,25,0,23
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyAccessRequestResponse,232,364,86,18,0,17,50,35,0,33
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineStatsResponse,114,234,41,11,0,12,24,25,0,23
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityTrendResponse.TrendDataPoint.TrendDataPointBuilder,13,42,0,0,0,1,1,7,1,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,UserSettingsResponse.UserSettingsResponseBuilder,0,45,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SessionResponse,131,245,50,16,0,12,32,24,1,22
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TwoFactorStatusResponse,5,67,3,7,0,5,3,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityTrendResponse.SecurityTrendResponseBuilder,0,46,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultTimelineResponse.VaultTimelineResponseBuilder,0,65,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TwoFactorSetupResponse,28,100,13,9,0,6,9,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,UserResponse.UserResponseBuilder,0,83,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyContactResponse,142,245,55,15,0,12,33,25,0,23
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultTimelineResponse.CategoryBreakdown,155,43,18,0,2,8,20,8,11,8
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TrashCountResponse,4,72,2,6,0,5,2,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HealthResponse,66,150,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TrashEntryResponse.TrashEntryResponseBuilder,0,83,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ChatResponse,119,214,45,13,0,11,27,23,0,21
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AuditLogResponse.AuditLogResponseBuilder,0,55,0,0,0,1,0,8,0,8
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordAgeResponse,59,192,19,7,0,11,11,23,0,21
Rev-PasswordManager,com.revature.passwordmanager.dto.response,UserSettingsResponse,66,148,27,11,0,8,17,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryPolicyResponse,85,172,34,12,0,9,21,19,0,17
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordStrengthResponse,42,113,16,8,0,7,10,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse.Insight.InsightBuilder,45,0,0,0,1,0,7,0,7,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExportResponse,88,183,33,11,0,10,20,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TeamResponse.TeamResponseBuilder,0,92,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityScoreResponse.SecurityScoreResponseBuilder,0,90,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse,115,257,40,10,0,14,23,29,0,27
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultEntryDetailResponse,313,462,118,24,0,21,69,43,0,41
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultTimelineResponse,99,186,37,11,0,10,22,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryStatusResponse.EntryExpiryDetail,483,0,80,0,15,0,69,0,29,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HealthResponse.HealthResponseBuilder,0,47,0,0,0,1,0,7,0,7
